編號,類別,料理名稱,解鎖等級,食材1,食材2,食材3,食材4,食材5,專精初階(160次),專精專家(480次),專精大師(960次)
38,主食/飲品/甜點,鄉村燉菜,Lv.3,番茄,馬鈴薯,生菜,,,160,480,960
39,主食/飲品/甜點,黑松露奶油義大利麵,Lv.3,松露,小麥 x2,牛奶,,,160,480,960
40,主食/飲品/甜點,海鮮披薩,Lv.4,任意魚 x1,乳酪,番茄醬,小麥,,160,480,960
41,主食/飲品/甜點,肉醬義大利麵,Lv.4,肉,小麥,番茄,乳酪,,160,480,960
42,主食/飲品/甜點,胡蘿蔔蛋糕,Lv.5,紅蘿蔔 x2,蛋,小麥,,,160,480,960
43,主食/飲品/甜點,蘋果派,Lv.5,蘋果 x4,麵粉 x2,糖,,,160,480,960
44,主食/飲品/甜點,玉米濃湯,Lv.5,玉米 x2,牛奶,奶油,,,160,480,960
45,主食/飲品/甜點,提拉米蘇,Lv.6,咖啡,蛋,牛奶,乳酪,,160,480,960
46,主食/飲品/甜點,豪華海鮮拼盤,Lv.6,貝類 x2,魚類 x2,,,,160,480,960
47,主食/飲品/甜點,英式下午茶,Lv.7,提拉米蘇,任意水果,,,,160,480,960
48,主食/飲品/甜點,露營套餐,Lv.7,海鮮披薩,蘋果派,炸魚薯條,任意飲料,,160,480,960
49,主食/飲品/甜點,鰲蝦冷盤,Lv.8,北歐螯蝦/歐洲螯龍蝦 x3,生菜,,,,160,480,960
50,主食/飲品/甜點,藍色北歐鰲蝦冷盤,Lv.8,藍色北歐螯蝦 x3,生菜,,,,160,480,960
51,主食/飲品/甜點,鮮肉漢堡,Lv.8,小麥,生菜,肉,番茄醬,,160,480,960
52,主食/飲品/甜點,燭光晚餐,Lv.9,田園沙拉,燻魚貝果,海鮮燉飯,提拉米蘇,,160,480,960
53,主食/飲品/甜點,肉醬焗茄子,Lv.9,茄子,番茄醬,食用油,肉,,160,480,960
54,主食/飲品/甜點,清蒸帝王蟹,Lv.10,帝王蟹 x3,奶油,,,,160,480,960
55,主食/飲品/甜點,清蒸黃金帝王蟹,Lv.10,黃金帝王蟹 x3,奶油,,,,160,480,960
56,主食/飲品/甜點,醇香紅茶飲,Lv.11,紅茶 x2,紅茶飲食材 x2,,,,160,480,960
57,主食/飲品/甜點,香濃奶茶,Lv.11,紅茶 x2,牛奶 x2,,,,160,480,960
58,主食/飲品/甜點,可可奶茶,Lv.11,紅茶 x2,可可,牛奶,,,160,480,960
59,主食/飲品/甜點,奶昔（原味）,Lv.11,任意水果 x2,牛奶 x2,,,,160,480,960
60,主食/飲品/甜點,草莓奶昔,Lv.11,草莓 x2,牛奶 x2,,,,160,480,960
61,主食/飲品/甜點,鳳梨奶昔,Lv.11,鳳梨 x2,牛奶 x2,,,,160,480,960
62,主食/飲品/甜點,橘子奶昔,Lv.11,橘子 x2,牛奶 x2,,,,160,480,960
63,主食/飲品/甜點,樹莓奶昔,Lv.11,樹莓 x2,牛奶 x2,,,,160,480,960
64,主食/飲品/甜點,藍莓奶昔,Lv.11,藍莓 x2,牛奶 x2,,,,160,480,960
65,主食/飲品/甜點,可可奶昔,Lv.11,可可 x2,牛奶 x2,,,,160,480,960
66,主食/飲品/甜點,葡萄奶昔,Lv.11,葡萄 x2,牛奶 x2,,,,160,480,960
67,主食/飲品/甜點,抹茶奶昔,Lv.11,抹茶粉 x2,牛奶 x2,,,,160,480,960
68,主食/飲品/甜點,精緻下午茶,Lv.12,提拉米蘇,奶昔,水果拼盤,,,160,480,960
69,主食/飲品/甜點,清新綠茶飲,Lv.12,綠茶 x4,,,,,160,480,960
70,主食/飲品/甜點,乳酪蝦釀蟹,Lv.13,貝類 x2,,,,,160,480,960
71,主食/飲品/甜點,鮮蝦酪梨盅,Lv.13,蝦,酪梨,,,,160,480,960
72,捲心蛋糕系列,原味捲心蛋糕,Lv.1,蛋,牛奶,任一種糖 x2,,,160,480,960
73,捲心蛋糕系列,紅色捲心蛋糕,Lv.1,蛋,牛奶,紅糖 x2,,,160,480,960
74,捲心蛋糕系列,橘色捲心蛋糕,Lv.1,蛋,牛奶,橘糖 x2,,,160,480,960
75,捲心蛋糕系列,黃色捲心蛋糕,Lv.1,蛋,牛奶,黃糖 x2,,,160,480,960
76,捲心蛋糕系列,綠色捲心蛋糕,Lv.1,蛋,牛奶,綠糖 x2,,,160,480,960
77,捲心蛋糕系列,藍色捲心蛋糕,Lv.1,蛋,牛奶,藍糖 x2,,,160,480,960
78,捲心蛋糕系列,靛色捲心蛋糕,Lv.1,蛋,牛奶,靛糖 x2,,,160,480,960
79,捲心蛋糕系列,紫色捲心蛋糕,Lv.1,蛋,牛奶,紫糖 x2,,,160,480,960
80,季節限定-冬霜季,冰咖啡,Lv.1,咖啡豆 x3,,,,,160,480,960
81,季節限定-冬霜季,冰拿鐵,Lv.1,咖啡豆,牛奶 x2,,,,160,480,960
82,季節限定-冬霜季,原味霜凍薄餅,Lv.1,蛋,牛奶,水果（任選）,,,160,480,960
83,季節限定-冬霜季,奶油白蘿蔔湯,Lv.1,牛奶,奶油,白蘿蔔,,,160,480,960
84,季節限定-冬霜季,柑橘霜凍薄餅,Lv.1,蛋,牛奶,橘子,,,160,480,960
85,季節限定-冬霜季,牛排配白蘿蔔泥,Lv.1,肉 x2,奶油,,,,160,480,960
86,季節限定-冬霜季,蘋果霜凍薄餅,Lv.1,蛋,牛奶,蘋果,,,160,480,960
87,季節限定-冬霜季,藍莓霜凍薄餅,Lv.1,蛋,牛奶,藍莓,,,160,480,960
88,季節限定-冬霜季,覆盆子霜凍薄餅,Lv.1,蛋,牛奶,樹莓,,,160,480,960
89,季節限定-冬霜季,極光盛宴,Lv.1,多種食材（季節限定）,,,,,160,480,960
